method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
rand_d9b69be9,10,48.4,5,9.68,0,0.020661
rand_2a52fa62,10,48.8,5,9.76,0,0.020492
rand_fdb81481,10,50.7,5,10.14,0,0.019724
rand_fbfc059d,10,49.2,5,9.84,0,0.020325
rand_0f89fcba,10,49.0,5,9.8,0,0.020408
rand_397308e0,10,48.6,5,9.72,0,0.020576
rand_0e376487,10,50.4,5,10.08,0,0.019841
rand_7751cb2c,10,47.6,5,9.52,0,0.021008
rand_4290ec5b,10,46.7,5,9.34,0,0.021413
rand_920581b6,10,49.0,5,9.8,0,0.020408
rand_cc196614,10,47.3,5,9.46,0,0.021142
rand_34746fa3,10,47.9,5,9.58,0,0.020877
rand_9799f570,10,49.0,5,9.8,0,0.020408
rand_3dea8464,10,50.4,5,10.08,0,0.019841
rand_56bcd8c6,10,51.1,5,10.22,0,0.019569
rand_5b9ceee7,10,50.3,5,10.06,0,0.019881
rand_40618302,10,49.3,5,9.86,0,0.020284
rand_3262790a,10,45.9,5,9.18,0,0.021786
rand_7b1a78b1,10,48.2,5,9.64,0,0.020747
rand_c0c39c39,10,47.0,5,9.4,0,0.021277
rand_c942a86d,10,47.9,5,9.58,0,0.020877
rand_169e8c36,10,50.6,5,10.12,0,0.019763
rand_ed1c96ff,10,47.8,5,9.56,0,0.020921
rand_20905422,10,51.6,5,10.32,0,0.01938
rand_62fdc16b,10,51.2,5,10.24,0,0.019531
rand_ce0854ce,10,46.3,5,9.26,0,0.021598
rand_3378bca8,10,47.4,5,9.48,0,0.021097
rand_314134ee,10,50.8,5,10.16,0,0.019685
rand_3d2c798d,10,48.7,5,9.74,0,0.020534
rand_6caf3063,10,49.8,5,9.96,0,0.02008
rand_2704a3b2,10,48.5,5,9.7,0,0.020619
rand_9006ea99,10,51.1,5,10.22,0,0.019569
rand_c3193d11,10,49.6,5,9.92,0,0.020161
rand_e5b86fdd,10,49.3,5,9.86,0,0.020284
rand_56c02f22,10,50.7,5,10.14,0,0.019724
rand_49adfe18,10,49.6,5,9.92,0,0.020161
rand_2471a30f,10,47.8,5,9.56,0,0.020921
rand_6c78ec55,10,50.1,5,10.02,0,0.01996
rand_1b95f0fe,10,49.8,5,9.96,0,0.02008
rand_56454769,10,48.9,5,9.78,0,0.02045
rand_5b791c52,10,50.4,5,10.08,0,0.019841
rand_2224cef8,10,47.4,5,9.48,0,0.021097
rand_e59b77dc,10,48.5,5,9.7,0,0.020619
rand_83df13b1,10,46.4,5,9.28,0,0.021552
rand_737d4a39,10,48.5,5,9.7,0,0.020619
rand_9bf0817c,10,47.9,5,9.58,0,0.020877
rand_714182c6,10,46.6,5,9.32,0,0.021459
rand_12f7535b,10,46.9,5,9.38,0,0.021322
rand_8e5256fd,10,52.2,5,10.44,0,0.019157
rand_09636ec9,10,50.0,5,10.0,0,0.02
rand_b71dee96,10,45.0,5,9.0,0,0.022222
rand_1b05fc19,10,50.4,5,10.08,0,0.019841
